mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3012971083323161,0.011526825671987196,0.21454517046610513,0.013522530837481889,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7974683544303798,0.7763713080168776,0.7837168622723351,0.009731336741072408,18
0.6191444396972656,0.03597789461130747,0.09483297665913899,0.022670683995233077,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7932489451476793,0.810126582278481,0.793562150598636,0.013398766715302095,16
0.7836403846740723,0.03279535491443392,0.0933997631072998,0.023739247707263083,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7805907172995781,0.8016877637130801,0.7865298017941353,0.010801608447133413,17
0.31772581736246747,0.014615574112955785,0.05111559232076009,0.0026035522972215324,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8151260504201681,0.8185654008438819,0.8227848101265823,0.818825420463544,0.003132076809627087,14
0.5004803339640299,0.002641274668275494,0.0786897341410319,0.014108082326944663,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.819327731092437,0.8227848101265823,0.8185654008438819,0.8202259806876336,0.001835936259820968,13
0.7663586139678955,0.023387017975288724,0.07600561777750652,0.011037687092915138,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8151260504201681,0.8185654008438819,0.8227848101265823,0.818825420463544,0.003132076809627087,14
0.348322073618571,0.06617703510616152,0.04799199104309082,0.0014554150020705695,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.819327731092437,0.8312236286919831,0.8227848101265823,0.8244453899703341,0.004996414647046275,7
0.5405905246734619,0.0042295688840317276,0.07280429204305013,0.006269480999662101,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,8
0.7956418991088867,0.02352418344119466,0.0776967207590739,0.003535584759482924,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.819327731092437,0.8312236286919831,0.8270042194092827,0.8258518597312343,0.004924364225996811,3
0.30805285771687824,0.008051879003227189,0.054293155670166016,0.005906750833864441,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.8277310924369747,0.8227848101265823,0.8270042194092827,0.8258400406576133,0.002180659120220944,6
0.5431991418202718,0.011689115260179312,0.05304455757141113,0.00547703924966357,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.8235294117647058,0.8185654008438819,0.8227848101265823,0.8216265409117233,0.002185793797240491,12
0.7386601765950521,0.025171198916933448,0.06930057207743327,0.00694322847039347,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.819327731092437,0.8185654008438819,0.8396624472573839,0.8258518597312342,0.009770517990875967,4
0.2750486532847087,0.003578261998146789,0.04602185885111491,0.0012779918507313068,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.819327731092437,0.8185654008438819,0.8396624472573839,0.8258518597312342,0.009770517990875967,4
0.5000935395558676,0.006564088414400629,0.061016082763671875,0.003870889310036152,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8277310924369747,0.8185654008438819,0.8396624472573839,0.8286529801794135,0.00863746682002732,1
0.716295083363851,0.005065005490915556,0.07119139035542806,0.003045395215763429,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8235294117647058,0.8143459915611815,0.8354430379746836,0.8244394804335237,0.008636840108119713,8
0.2812940279642741,0.0036537447324340336,0.044065395991007485,0.006633327914901614,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8277310924369747,0.8143459915611815,0.8396624472573839,0.8272465104185134,0.010341078185370143,2
0.45526862144470215,0.022772136149971717,0.05423633257548014,0.005570586878637769,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8277310924369747,0.8059071729957806,0.8354430379746836,0.8230271011358129,0.012508330041324468,11
0.553357203801473,0.026209725193761538,0.04737520217895508,0.0029245285788784704,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8361344537815126,0.8059071729957806,0.8312236286919831,0.8244217518230922,0.013244401902427462,10
