mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__max_depth,param_clf__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.2905884583791097,0.010133041545752825,0.06275192896525066,0.02097980117087256,2,100,"{'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7773109243697479,0.7805907172995781,0.8016877637130801,0.7865298017941353,0.010801608447133413,18
0.48418370882670086,0.01768344416867621,0.09664527575174968,0.02607060760547727,2,200,"{'clf__max_depth': 2, 'clf__n_estimators': 200}",0.7773109243697479,0.7805907172995781,0.810126582278481,0.7893427413159356,0.014757264748430948,16
0.679197629292806,0.01886222326607945,0.12150899569193523,0.04366584049716385,2,300,"{'clf__max_depth': 2, 'clf__n_estimators': 300}",0.7773109243697479,0.7890295358649789,0.8016877637130801,0.7893427413159356,0.009954267002431313,16
0.3148372173309326,0.027880268783582456,0.12954203287760416,0.03073450865481127,3,100,"{'clf__max_depth': 3, 'clf__n_estimators': 100}",0.8067226890756303,0.8185654008438819,0.810126582278481,0.8118048907326644,0.0049782858466885065,14
0.5044324398040771,0.012645496366824854,0.059251626332600914,0.005241944270132684,3,200,"{'clf__max_depth': 3, 'clf__n_estimators': 200}",0.8151260504201681,0.8185654008438819,0.8185654008438819,0.817418950702644,0.0016213253383232328,13
0.7342766920725504,0.00786293872042459,0.06268580754597981,0.00015632701387958972,3,300,"{'clf__max_depth': 3, 'clf__n_estimators': 300}",0.8067226890756303,0.8185654008438819,0.810126582278481,0.8118048907326644,0.0049782858466885065,14
0.3029938538869222,0.03233928395046607,0.04629977544148763,0.0021854228871771553,4,100,"{'clf__max_depth': 4, 'clf__n_estimators': 100}",0.8235294117647058,0.8312236286919831,0.8185654008438819,0.8244394804335237,0.005207613132077823,7
0.4832304318745931,0.007532192276236289,0.0549619197845459,0.002608990214508734,4,200,"{'clf__max_depth': 4, 'clf__n_estimators': 200}",0.819327731092437,0.8354430379746836,0.8270042194092827,0.8272583294921344,0.0065814997241207054,2
0.6907471815745035,0.012273569298275186,0.06810394922892253,0.00581118216848677,4,300,"{'clf__max_depth': 4, 'clf__n_estimators': 300}",0.8235294117647058,0.8312236286919831,0.8270042194092827,0.827252419955324,0.0031460500276051153,3
0.27325908342997235,0.010002468014178107,0.04696083068847656,0.0017610733540556708,5,100,"{'clf__max_depth': 5, 'clf__n_estimators': 100}",0.819327731092437,0.8143459915611815,0.8396624472573839,0.8244453899703341,0.010950602922437195,6
0.49488290150960285,0.006312560359715348,0.057477871576944985,0.007046648995002959,5,200,"{'clf__max_depth': 5, 'clf__n_estimators': 200}",0.819327731092437,0.8227848101265823,0.8227848101265823,0.8216324504485338,0.0016296826854280268,10
0.7072328726450602,0.006006969937883533,0.10282691319783528,0.017534200698458964,5,300,"{'clf__max_depth': 5, 'clf__n_estimators': 300}",0.8235294117647058,0.8185654008438819,0.8354430379746836,0.8258459501944238,0.007082298191125252,5
0.2754820187886556,0.007941677329320529,0.047661383946736656,0.0023604612315966116,6,100,"{'clf__max_depth': 6, 'clf__n_estimators': 100}",0.8277310924369747,0.8185654008438819,0.8354430379746836,0.8272465104185134,0.006898781224690641,4
0.5275170008341471,0.01671776540989769,0.0786588191986084,0.013117383868629137,6,200,"{'clf__max_depth': 6, 'clf__n_estimators': 200}",0.8235294117647058,0.8143459915611815,0.8312236286919831,0.8230330106726235,0.006899201369864901,9
0.7639821370442709,0.0195910971668711,0.08289154370625813,0.020219954237707453,6,300,"{'clf__max_depth': 6, 'clf__n_estimators': 300}",0.8319327731092437,0.8185654008438819,0.8354430379746836,0.828647070642603,0.007271429905423034,1
0.3016543388366699,0.004698280008255961,0.06685074170430501,0.022685283272967125,7,100,"{'clf__max_depth': 7, 'clf__n_estimators': 100}",0.8277310924369747,0.8059071729957806,0.8312236286919831,0.8216206313749127,0.011202203147823988,11
0.5169015725453695,0.0169192278807263,0.05629547437032064,0.005953200702742758,7,200,"{'clf__max_depth': 7, 'clf__n_estimators': 200}",0.8277310924369747,0.8016877637130801,0.8270042194092827,0.8188076918531125,0.012109253782115036,12
0.5515391826629639,0.024692110321138452,0.04732839266459147,8.504502078829982e-05,7,300,"{'clf__max_depth': 7, 'clf__n_estimators': 300}",0.8319327731092437,0.810126582278481,0.8312236286919831,0.8244276613599025,0.010116533287015499,8
